solution_id,problem_id,old_outcome,input_outcome,graph_outcome,mutation_outcome,input_result,graph_result,mutation_result
204936,751,0,,,,,,
204937,751,0,,,,,,
204938,751,0,,,,,,
204939,751,0,,,,,,
204940,751,0,,,,,,
204941,751,0,,,,,,
204942,751,0,,,,,,
204943,751,0,,,,,,
204944,751,0,,,,,,
204945,751,0,,,,,,
204946,751,0,,,,,,
204947,751,0,,,,,,
204948,751,0,,,,,,
204949,751,0,,,,,,
204950,751,0,,,,,,
204951,751,0,,,,,,
204952,751,0,,,,,,
204953,751,0,,,,,,
204954,751,0,,,,,,
204955,751,0,,,,,,
204956,751,0,,,,,,
204957,751,0,,,,,,
204958,751,0,,,,,,
204959,751,0,,,,,,
204960,751,0,,,,,,
204961,751,0,,,,,,
204962,751,0,,,,,,
204963,751,0,,,,,,
204964,751,0,,,,,,
204965,751,0,,,,,,
204966,751,0,,,,,,
204967,751,0,,,,,,
204968,751,0,,,,,,
204969,751,0,,,,,,
204970,751,0,,,,,,
204971,751,0,,,,,,
204972,751,0,,,,,,
204973,751,0,,,,,,
204974,751,0,,,,,,
204975,751,0,,,,,,
204976,751,0,,,,,,
204977,751,0,,,,,,
204978,751,0,,,,,,
204979,751,0,,,,,,
204980,751,0,,,,,,
204981,751,0,,,,,,
204982,751,0,,,,,,
204983,751,0,,,,,,
204984,751,0,,,,,,
204985,751,0,,,,,,
204986,751,0,,,,,,
204987,751,0,,,,,,
204988,751,1,,,,,,
204989,751,1,,,,,,
204990,751,0,,,,,,
204991,751,0,,,,,,
204992,751,0,,,,,,
204993,751,0,,,,,,
204994,751,0,,,,,,
204995,751,0,,,,,,
204996,751,0,,,,,,
204997,751,0,,,,,,
204998,751,1,,,,,,
204999,751,1,,,,,,
205000,751,0,,,,,,
205001,751,0,,,,,,
205002,751,0,,,,,,
205003,751,1,,,,,,
205004,751,0,,,,,,
205005,751,0,,,,,,
205006,751,0,,,,,,
205007,751,1,,,,,,
205008,751,0,,,,,,
205009,751,0,,,,,,
205010,751,0,,,,,,
205011,751,0,,,,,,
205012,751,0,,,,,,
205013,751,0,,,,,,
205014,751,0,,,,,,
205015,751,0,,,,,,
205016,751,0,,,,,,
205017,751,0,,,,,,
205018,751,0,,,,,,
205019,751,1,,,,,,
205020,751,0,,,,,,
205021,751,0,,,,,,
205022,751,0,,,,,,
205023,751,0,,,,,,
205024,751,0,,,,,,
205025,751,1,,,,,,
205026,751,1,,,,,,
205027,751,1,,,,,,
205028,751,0,,,,,,
205029,751,0,,,,,,
205030,751,1,,,,,,
205031,751,0,,,,,,
205032,751,0,,,,,,
205033,751,1,,,,,,
205034,751,0,,,,,,
205035,751,1,,,,,,
205036,751,0,,,,,,
205037,751,0,,,,,,
205038,751,0,,,,,,
205039,751,0,,,,,,
205040,751,0,,,,,,
205041,751,0,,,,,,
205042,751,1,,,,,,
205043,751,1,,,,,,
205044,751,0,,,,,,
205045,751,0,,,,,,
205046,751,0,,,,,,
205047,751,1,,,,,,
205048,751,0,,,,,,
205049,751,1,,,,,,
205050,751,1,,,,,,
205051,751,1,,,,,,
205052,751,1,,,,,,
205053,751,0,,,,,,
205054,751,0,,,,,,
205055,751,1,,,,,,
205056,751,1,,,,,,
205057,751,0,,,,,,
205058,751,0,,,,,,
205059,751,0,,,,,,
205060,751,0,,,,,,
205061,751,0,,,,,,
205062,751,0,,,,,,
205063,751,0,,,,,,
205064,751,0,,,,,,
205065,751,0,,,,,,
205066,751,0,,,,,,
205067,751,1,,,,,,
205068,751,0,,,,,,
205069,751,0,,,,,,
205070,751,0,,,,,,
205071,751,0,,,,,,
205072,751,0,,,,,,
205073,751,1,,,,,,
205074,751,1,,,,,,
205075,751,0,,,,,,
205076,751,0,,,,,,
205077,751,0,,,,,,
205078,751,0,,,,,,
205079,751,1,,,,,,
205080,751,1,,,,,,
205081,751,1,,,,,,
205082,751,0,,,,,,
205083,751,1,,,,,,
205084,751,1,,,,,,
205085,751,1,,,,,,
205086,751,1,,,,,,
205087,751,0,,,,,,
205088,751,0,,,,,,
205089,751,0,,,,,,
205090,751,0,,,,,,
205091,751,0,,,,,,
205092,751,0,,,,,,
205093,751,1,,,,,,
205094,751,1,,,,,,
205095,751,0,,,,,,
205096,751,1,,,,,,
205097,751,0,,,,,,
205098,751,1,,,,,,
205099,751,1,,,,,,
205100,751,1,,,,,,
205101,751,1,,,,,,
205102,751,0,,,,,,
205103,751,0,,,,,,
205104,751,0,,,,,,
205105,751,0,,,,,,
205106,751,1,,,,,,
205107,751,1,,,,,,
205108,751,0,,,,,,
205109,751,1,,,,,,
205110,751,1,,,,,,
205111,751,1,,,,,,
205112,751,0,,,,,,
205113,751,0,,,,,,
205114,751,0,,,,,,
205115,751,0,,,,,,
205116,751,0,,,,,,
205117,751,0,,,,,,
205118,751,1,,,,,,
205119,751,1,,,,,,
205120,751,1,,,,,,
205121,751,1,,,,,,
205122,751,0,,,,,,
205123,751,0,,,,,,
205124,751,0,,,,,,
205125,751,0,,,,,,
205126,751,0,,,,,,
205127,751,0,,,,,,
205128,751,0,,,,,,
205129,751,0,,,,,,
205130,751,0,,,,,,
205131,751,0,,,,,,
205132,751,0,,,,,,
205133,751,1,,,,,,
205134,751,1,,,,,,
205135,751,0,,,,,,
205136,751,1,,,,,,
205137,751,1,,,,,,
205138,751,0,,,,,,
205139,751,0,,,,,,
205140,751,0,,,,,,
205141,751,1,,,,,,
205142,751,1,,,,,,
205143,751,1,,,,,,
205144,751,0,,,,,,
205145,751,1,,,,,,
205146,751,0,,,,,,
205147,751,0,,,,,,
205148,751,0,,,,,,
205149,751,1,,,,,,
