solution_id,problem_id,old_outcome,input_outcome,graph_outcome,mutation_outcome,input_result,graph_result,mutation_result
311177,828,0,,,,,,
311178,828,0,,,,,,
311179,828,0,,,,,,
311180,828,0,,,,,,
311181,828,0,,,,,,
311182,828,0,,,,,,
311183,828,1,,,,,,
311184,828,0,,,,,,
311185,828,1,,,,,,
311186,828,0,,,,,,
311187,828,0,,,,,,
311188,828,0,,,,,,
311189,828,0,,,,,,
311190,828,1,,,,,,
311191,828,1,,,,,,
311192,828,0,,,,,,
311193,828,0,,,,,,
311194,828,1,,,,,,
311195,828,1,,,,,,
311196,828,0,,,,,,
311197,828,1,,,,,,
311198,828,0,,,,,,
311199,828,1,,,,,,
311200,828,1,,,,,,
311201,828,0,,,,,,
311202,828,0,,,,,,
311203,828,0,,,,,,
311204,828,0,,,,,,
311205,828,0,,,,,,
311206,828,0,,,,,,
311207,828,0,,,,,,
311208,828,0,,,,,,
311209,828,0,,,,,,
311210,828,0,,,,,,
311211,828,0,,,,,,
311212,828,0,,,,,,
311213,828,0,,,,,,
311214,828,0,,,,,,
311215,828,0,,,,,,
311216,828,0,,,,,,
311217,828,1,,,,,,
311218,828,0,,,,,,
311219,828,1,,,,,,
311220,828,1,,,,,,
311221,828,0,,,,,,
311222,828,1,,,,,,
311223,828,0,,,,,,
311224,828,0,,,,,,
311225,828,1,,,,,,
311226,828,0,,,,,,
311227,828,0,,,,,,
311228,828,0,,,,,,
311229,828,1,,,,,,
311230,828,0,,,,,,
311231,828,0,,,,,,
311232,828,0,,,,,,
311233,828,0,,,,,,
311234,828,0,,,,,,
311235,828,0,,,,,,
311236,828,0,,,,,,
311237,828,0,,,,,,
311238,828,0,,,,,,
311239,828,0,,,,,,
311240,828,1,,,,,,
311241,828,0,,,,,,
311242,828,0,,,,,,
311243,828,0,,,,,,
311244,828,0,,,,,,
311245,828,1,,,,,,
311246,828,0,,,,,,
311247,828,1,,,,,,
311248,828,1,,,,,,
311249,828,1,,,,,,
311250,828,1,,,,,,
311251,828,0,,,,,,
311252,828,0,,,,,,
311253,828,0,,,,,,
311254,828,0,,,,,,
311255,828,0,,,,,,
311256,828,1,,,,,,
311257,828,0,,,,,,
311258,828,0,,,,,,
311259,828,1,,,,,,
311260,828,1,,,,,,
311261,828,1,,,,,,
311262,828,1,,,,,,
311263,828,0,,,,,,
311264,828,1,,,,,,
311265,828,1,,,,,,
311266,828,0,,,,,,
311267,828,1,,,,,,
311268,828,1,,,,,,
311269,828,0,,,,,,
311270,828,1,,,,,,
311271,828,1,,,,,,
311272,828,0,,,,,,
311273,828,0,,,,,,
311274,828,0,,,,,,
311275,828,0,,,,,,
311276,828,0,,,,,,
311277,828,0,,,,,,
311278,828,0,,,,,,
311279,828,0,,,,,,
311280,828,0,,,,,,
311281,828,0,,,,,,
311282,828,0,,,,,,
311283,828,0,,,,,,
311284,828,0,,,,,,
311285,828,0,,,,,,
311286,828,0,,,,,,
311287,828,1,,,,,,
311288,828,0,,,,,,
311289,828,1,,,,,,
311290,828,1,,,,,,
311291,828,1,,,,,,
311292,828,0,,,,,,
311293,828,0,,,,,,
311294,828,0,,,,,,
311295,828,0,,,,,,
311296,828,0,,,,,,
311297,828,0,,,,,,
311298,828,1,,,,,,
311299,828,0,,,,,,
311300,828,0,,,,,,
311301,828,0,,,,,,
311302,828,0,,,,,,
311303,828,0,,,,,,
311304,828,1,,,,,,
311305,828,0,,,,,,
311306,828,1,,,,,,
311307,828,1,,,,,,
311308,828,0,,,,,,
311309,828,1,,,,,,
311310,828,1,,,,,,
311311,828,1,,,,,,
311312,828,1,,,,,,
311313,828,1,,,,,,
311314,828,0,,,,,,
311315,828,0,,,,,,
311316,828,1,,,,,,
311317,828,1,,,,,,
311318,828,0,,,,,,
311319,828,0,,,,,,
311320,828,0,,,,,,
311321,828,0,,,,,,
311322,828,0,,,,,,
311323,828,0,,,,,,
311324,828,0,,,,,,
311325,828,0,,,,,,
311326,828,0,,,,,,
311327,828,0,,,,,,
311328,828,1,,,,,,
311329,828,1,,,,,,
311330,828,1,,,,,,
311331,828,1,,,,,,
311332,828,0,,,,,,
311333,828,0,,,,,,
311334,828,0,,,,,,
311335,828,0,,,,,,
311336,828,0,,,,,,
311337,828,0,,,,,,
311338,828,1,,,,,,
311339,828,0,,,,,,
311340,828,1,,,,,,
311341,828,1,,,,,,
311342,828,1,,,,,,
311343,828,1,,,,,,
311344,828,1,,,,,,
311345,828,1,,,,,,
311346,828,0,,,,,,
311347,828,1,,,,,,
311348,828,0,,,,,,
311349,828,0,,,,,,
311350,828,0,,,,,,
311351,828,1,,,,,,
311352,828,0,,,,,,
311353,828,0,,,,,,
311354,828,0,,,,,,
311355,828,0,,,,,,
311356,828,0,,,,,,
311357,828,0,,,,,,
311358,828,0,,,,,,
311359,828,0,,,,,,
311360,828,1,,,,,,
311361,828,1,,,,,,
311362,828,1,,,,,,
311363,828,0,,,,,,
311364,828,0,,,,,,
311365,828,1,,,,,,
311366,828,0,,,,,,
311367,828,1,,,,,,
311368,828,0,,,,,,
311369,828,0,,,,,,
311370,828,0,,,,,,
311371,828,1,,,,,,
311372,828,0,,,,,,
311373,828,0,,,,,,
311374,828,1,,,,,,
311375,828,0,,,,,,
311376,828,0,,,,,,
311377,828,0,,,,,,
311378,828,0,,,,,,
311379,828,0,,,,,,
311380,828,1,,,,,,
311381,828,1,,,,,,
311382,828,0,,,,,,
311383,828,0,,,,,,
311384,828,0,,,,,,
311385,828,1,,,,,,
311386,828,0,,,,,,
311387,828,0,,,,,,
311388,828,0,,,,,,
311389,828,0,,,,,,
311390,828,0,,,,,,
311391,828,0,,,,,,
311392,828,0,,,,,,
311393,828,0,,,,,,
311394,828,0,,,,,,
311395,828,0,,,,,,
311396,828,0,,,,,,
311397,828,1,,,,,,
311398,828,0,,,,,,
311399,828,0,,,,,,
311400,828,0,,,,,,
311401,828,0,,,,,,
311402,828,0,,,,,,
311403,828,1,,,,,,
311404,828,1,,,,,,
311405,828,1,,,,,,
311406,828,1,,,,,,
311407,828,1,,,,,,
311408,828,1,,,,,,
311409,828,1,,,,,,
311410,828,0,,,,,,
311411,828,0,,,,,,
311412,828,0,,,,,,
311413,828,0,,,,,,
311414,828,0,,,,,,
311415,828,0,,,,,,
311416,828,1,,,,,,
311417,828,1,,,,,,
311418,828,0,,,,,,
311419,828,0,,,,,,
311420,828,0,,,,,,
311421,828,0,,,,,,
311422,828,0,,,,,,
311423,828,0,,,,,,
311424,828,1,,,,,,
311425,828,1,,,,,,
311426,828,1,,,,,,
311427,828,0,,,,,,
311428,828,0,,,,,,
311429,828,0,,,,,,
311430,828,0,,,,,,
311431,828,0,,,,,,
311432,828,1,,,,,,
311433,828,0,,,,,,
311434,828,0,,,,,,
311435,828,0,,,,,,
311436,828,0,,,,,,
311437,828,0,,,,,,
311438,828,1,,,,,,
311439,828,1,,,,,,
311440,828,0,,,,,,
311441,828,1,,,,,,
311442,828,0,,,,,,
311443,828,0,,,,,,
311444,828,1,,,,,,
311445,828,0,,,,,,
311446,828,0,,,,,,
311447,828,0,,,,,,
311448,828,0,,,,,,
311449,828,0,,,,,,
311450,828,1,,,,,,
311451,828,1,,,,,,
311452,828,0,,,,,,
311453,828,0,,,,,,
311454,828,0,,,,,,
311455,828,0,,,,,,
311456,828,0,,,,,,
311457,828,0,,,,,,
311458,828,0,,,,,,
311459,828,0,,,,,,
311460,828,0,,,,,,
311461,828,1,,,,,,
311462,828,0,,,,,,
311463,828,1,,,,,,
311464,828,0,,,,,,
311465,828,0,,,,,,
311466,828,0,,,,,,
311467,828,0,,,,,,
311468,828,1,,,,,,
311469,828,1,,,,,,
311470,828,0,,,,,,
311471,828,1,,,,,,
311472,828,1,,,,,,
311473,828,0,,,,,,
311474,828,0,,,,,,
311475,828,0,,,,,,
311476,828,0,,,,,,
311477,828,0,,,,,,
311478,828,0,,,,,,
311479,828,0,,,,,,
311480,828,0,,,,,,
311481,828,0,,,,,,
311482,828,0,,,,,,
311483,828,1,,,,,,
311484,828,0,,,,,,
311485,828,1,,,,,,
311486,828,1,,,,,,
311487,828,1,,,,,,
311488,828,0,,,,,,
311489,828,0,,,,,,
311490,828,0,,,,,,
311491,828,0,,,,,,
311492,828,1,,,,,,
311493,828,0,,,,,,
311494,828,0,,,,,,
311495,828,0,,,,,,
311496,828,0,,,,,,
311497,828,0,,,,,,
311498,828,0,,,,,,
311499,828,0,,,,,,
311500,828,1,,,,,,
311501,828,0,,,,,,
311502,828,0,,,,,,
311503,828,1,,,,,,
311504,828,0,,,,,,
311505,828,1,,,,,,
311506,828,1,,,,,,
311507,828,1,,,,,,
311508,828,0,,,,,,
311509,828,0,,,,,,
311510,828,0,,,,,,
311511,828,1,,,,,,
311512,828,0,,,,,,
311513,828,0,,,,,,
311514,828,0,,,,,,
311515,828,1,,,,,,
311516,828,1,,,,,,
311517,828,0,,,,,,
311518,828,0,,,,,,
311519,828,0,,,,,,
311520,828,0,,,,,,
311521,828,1,,,,,,
311522,828,1,,,,,,
311523,828,1,,,,,,
311524,828,1,,,,,,
311525,828,1,,,,,,
311526,828,1,,,,,,
311527,828,0,,,,,,
311528,828,0,,,,,,
311529,828,1,,,,,,
311530,828,0,,,,,,
311531,828,1,,,,,,
311532,828,1,,,,,,
311533,828,1,,,,,,
311534,828,0,,,,,,
311535,828,0,,,,,,
311536,828,0,,,,,,
311537,828,0,,,,,,
311538,828,0,,,,,,
311539,828,0,,,,,,
311540,828,1,,,,,,
311541,828,0,,,,,,
311542,828,1,,,,,,
311543,828,0,,,,,,
311544,828,0,,,,,,
311545,828,1,,,,,,
