solution_id,problem_id,old_outcome,input_outcome,graph_outcome,mutation_outcome,input_result,graph_result,mutation_result
344967,835,1,,,,,,
344968,835,0,,,,,,
344969,835,0,,,,,,
344970,835,0,,,,,,
344971,835,0,,,,,,
344972,835,0,,,,,,
344973,835,0,,,,,,
344974,835,0,,,,,,
344975,835,0,,,,,,
344976,835,0,,,,,,
344977,835,0,,,,,,
344978,835,0,,,,,,
344979,835,0,,,,,,
344980,835,1,,,,,,
344981,835,1,,,,,,
344982,835,1,,,,,,
344983,835,0,,,,,,
344984,835,0,,,,,,
344985,835,0,,,,,,
344986,835,0,,,,,,
344987,835,0,,,,,,
344988,835,0,,,,,,
344989,835,0,,,,,,
344990,835,0,,,,,,
344991,835,0,,,,,,
344992,835,0,,,,,,
344993,835,0,,,,,,
344994,835,0,,,,,,
344995,835,0,,,,,,
344996,835,0,,,,,,
344997,835,0,,,,,,
344998,835,0,,,,,,
344999,835,1,,,,,,
345000,835,1,,,,,,
345001,835,0,,,,,,
345002,835,0,,,,,,
345003,835,1,,,,,,
345004,835,0,,,,,,
345005,835,0,,,,,,
345006,835,1,,,,,,
345007,835,1,,,,,,
345008,835,0,,,,,,
345009,835,0,,,,,,
345010,835,1,,,,,,
345011,835,0,,,,,,
345012,835,1,,,,,,
345013,835,0,,,,,,
345014,835,0,,,,,,
345015,835,0,,,,,,
345016,835,0,,,,,,
345017,835,0,,,,,,
345018,835,1,,,,,,
345019,835,1,,,,,,
345020,835,0,,,,,,
345021,835,0,,,,,,
345022,835,0,,,,,,
345023,835,0,,,,,,
345024,835,0,,,,,,
345025,835,0,,,,,,
345026,835,0,,,,,,
345027,835,0,,,,,,
345028,835,0,,,,,,
345029,835,0,,,,,,
345030,835,0,,,,,,
345031,835,1,,,,,,
345032,835,0,,,,,,
345033,835,1,,,,,,
345034,835,1,,,,,,
345035,835,0,,,,,,
345036,835,0,,,,,,
345037,835,1,,,,,,
345038,835,1,,,,,,
345039,835,1,,,,,,
345040,835,0,,,,,,
345041,835,0,,,,,,
345042,835,0,,,,,,
345043,835,0,,,,,,
345044,835,0,,,,,,
345045,835,0,,,,,,
345046,835,0,,,,,,
345047,835,0,,,,,,
345048,835,0,,,,,,
345049,835,1,,,,,,
345050,835,0,,,,,,
345051,835,0,,,,,,
345052,835,1,,,,,,
345053,835,1,,,,,,
345054,835,0,,,,,,
345055,835,1,,,,,,
345056,835,1,,,,,,
345057,835,0,,,,,,
345058,835,0,,,,,,
345059,835,0,,,,,,
345060,835,0,,,,,,
345061,835,0,,,,,,
345062,835,0,,,,,,
345063,835,0,,,,,,
345064,835,0,,,,,,
345065,835,0,,,,,,
345066,835,0,,,,,,
345067,835,0,,,,,,
345068,835,1,,,,,,
345069,835,0,,,,,,
345070,835,0,,,,,,
345071,835,0,,,,,,
345072,835,0,,,,,,
345073,835,0,,,,,,
345074,835,0,,,,,,
345075,835,0,,,,,,
345076,835,0,,,,,,
345077,835,0,,,,,,
