solution_id,problem_id,old_outcome,input_outcome,graph_outcome,mutation_outcome,input_result,graph_result,mutation_result
319668,829,0,,,,,,
319669,829,0,,,,,,
319670,829,0,,,,,,
319671,829,0,,,,,,
319672,829,0,,,,,,
319673,829,0,,,,,,
319674,829,1,,,,,,
319675,829,0,,,,,,
319676,829,0,,,,,,
319677,829,1,,,,,,
319678,829,0,,,,,,
319679,829,1,,,,,,
319680,829,0,,,,,,
319681,829,1,,,,,,
319682,829,0,,,,,,
319683,829,1,,,,,,
319684,829,1,,,,,,
319685,829,1,,,,,,
319686,829,0,,,,,,
319687,829,0,,,,,,
319688,829,1,,,,,,
319689,829,0,,,,,,
319690,829,0,,,,,,
319691,829,0,,,,,,
319692,829,1,,,,,,
319693,829,0,,,,,,
319694,829,1,,,,,,
319695,829,1,,,,,,
319696,829,0,,,,,,
319697,829,1,,,,,,
319698,829,0,,,,,,
319699,829,0,,,,,,
319700,829,1,,,,,,
319701,829,0,,,,,,
319702,829,0,,,,,,
319703,829,0,,,,,,
319704,829,1,,,,,,
319705,829,0,,,,,,
319706,829,0,,,,,,
319707,829,0,,,,,,
319708,829,1,,,,,,
319709,829,0,,,,,,
319710,829,1,,,,,,
319711,829,1,,,,,,
319712,829,0,,,,,,
319713,829,1,,,,,,
319714,829,1,,,,,,
319715,829,0,,,,,,
319716,829,0,,,,,,
319717,829,0,,,,,,
319718,829,1,,,,,,
319719,829,0,,,,,,
319720,829,0,,,,,,
319721,829,0,,,,,,
319722,829,1,,,,,,
319723,829,0,,,,,,
319724,829,0,,,,,,
319725,829,1,,,,,,
319726,829,1,,,,,,
319727,829,0,,,,,,
319728,829,1,,,,,,
319729,829,0,,,,,,
319730,829,1,,,,,,
319731,829,0,,,,,,
319732,829,1,,,,,,
319733,829,0,,,,,,
319734,829,1,,,,,,
319735,829,1,,,,,,
319736,829,0,,,,,,
319737,829,0,,,,,,
319738,829,0,,,,,,
319739,829,0,,,,,,
319740,829,0,,,,,,
319741,829,0,,,,,,
319742,829,1,,,,,,
319743,829,1,,,,,,
319744,829,0,,,,,,
319745,829,1,,,,,,
319746,829,1,,,,,,
319747,829,1,,,,,,
319748,829,1,,,,,,
319749,829,0,,,,,,
319750,829,1,,,,,,
319751,829,0,,,,,,
319752,829,1,,,,,,
319753,829,0,,,,,,
319754,829,0,,,,,,
319755,829,1,,,,,,
319756,829,1,,,,,,
319757,829,1,,,,,,
319758,829,0,,,,,,
319759,829,0,,,,,,
319760,829,1,,,,,,
319761,829,0,,,,,,
319762,829,0,,,,,,
319763,829,1,,,,,,
319764,829,0,,,,,,
319765,829,1,,,,,,
319766,829,0,,,,,,
319767,829,0,,,,,,
319768,829,0,,,,,,
319769,829,1,,,,,,
319770,829,0,,,,,,
319771,829,1,,,,,,
319772,829,1,,,,,,
319773,829,0,,,,,,
319774,829,1,,,,,,
319775,829,1,,,,,,
319776,829,0,,,,,,
319777,829,0,,,,,,
319778,829,1,,,,,,
319779,829,0,,,,,,
319780,829,1,,,,,,
319781,829,1,,,,,,
319782,829,0,,,,,,
319783,829,1,,,,,,
319784,829,0,,,,,,
319785,829,0,,,,,,
319786,829,1,,,,,,
319787,829,1,,,,,,
319788,829,0,,,,,,
319789,829,1,,,,,,
319790,829,1,,,,,,
319791,829,1,,,,,,
319792,829,1,,,,,,
319793,829,0,,,,,,
319794,829,0,,,,,,
319795,829,0,,,,,,
319796,829,0,,,,,,
319797,829,0,,,,,,
319798,829,0,,,,,,
319799,829,0,,,,,,
319800,829,0,,,,,,
319801,829,0,,,,,,
319802,829,0,,,,,,
319803,829,0,,,,,,
319804,829,1,,,,,,
319805,829,1,,,,,,
319806,829,0,,,,,,
319807,829,0,,,,,,
319808,829,1,,,,,,
319809,829,0,,,,,,
319810,829,1,,,,,,
319811,829,0,,,,,,
319812,829,1,,,,,,
319813,829,1,,,,,,
319814,829,1,,,,,,
319815,829,1,,,,,,
319816,829,1,,,,,,
319817,829,0,,,,,,
319818,829,1,,,,,,
319819,829,1,,,,,,
319820,829,0,,,,,,
319821,829,1,,,,,,
319822,829,1,,,,,,
319823,829,0,,,,,,
319824,829,0,,,,,,
319825,829,0,,,,,,
319826,829,0,,,,,,
319827,829,0,,,,,,
319828,829,0,,,,,,
319829,829,0,,,,,,
319830,829,1,,,,,,
319831,829,0,,,,,,
319832,829,0,,,,,,
319833,829,0,,,,,,
319834,829,1,,,,,,
319835,829,0,,,,,,
319836,829,1,,,,,,
319837,829,0,,,,,,
319838,829,0,,,,,,
319839,829,0,,,,,,
319840,829,0,,,,,,
319841,829,0,,,,,,
319842,829,0,,,,,,
319843,829,0,,,,,,
319844,829,0,,,,,,
319845,829,0,,,,,,
319846,829,0,,,,,,
319847,829,0,,,,,,
319848,829,0,,,,,,
319849,829,0,,,,,,
319850,829,0,,,,,,
319851,829,0,,,,,,
319852,829,0,,,,,,
319853,829,1,,,,,,
319854,829,1,,,,,,
319855,829,1,,,,,,
319856,829,1,,,,,,
319857,829,0,,,,,,
319858,829,0,,,,,,
319859,829,0,,,,,,
319860,829,0,,,,,,
319861,829,0,,,,,,
319862,829,0,,,,,,
319863,829,0,,,,,,
319864,829,0,,,,,,
319865,829,0,,,,,,
319866,829,1,,,,,,
319867,829,1,,,,,,
319868,829,1,,,,,,
319869,829,0,,,,,,
319870,829,0,,,,,,
319871,829,1,,,,,,
319872,829,1,,,,,,
319873,829,0,,,,,,
319874,829,0,,,,,,
319875,829,0,,,,,,
319876,829,0,,,,,,
319877,829,1,,,,,,
319878,829,0,,,,,,
319879,829,0,,,,,,
319880,829,0,,,,,,
319881,829,1,,,,,,
319882,829,1,,,,,,
319883,829,0,,,,,,
319884,829,0,,,,,,
319885,829,1,,,,,,
319886,829,1,,,,,,
319887,829,1,,,,,,
319888,829,0,,,,,,
319889,829,0,,,,,,
319890,829,0,,,,,,
319891,829,1,,,,,,
319892,829,1,,,,,,
319893,829,0,,,,,,
319894,829,0,,,,,,
319895,829,0,,,,,,
319896,829,0,,,,,,
319897,829,1,,,,,,
319898,829,0,,,,,,
319899,829,0,,,,,,
319900,829,1,,,,,,
319901,829,0,,,,,,
319902,829,1,,,,,,
319903,829,0,,,,,,
319904,829,1,,,,,,
319905,829,1,,,,,,
319906,829,0,,,,,,
319907,829,1,,,,,,
319908,829,0,,,,,,
319909,829,1,,,,,,
319910,829,0,,,,,,
319911,829,1,,,,,,
319912,829,1,,,,,,
319913,829,0,,,,,,
319914,829,1,,,,,,
319915,829,1,,,,,,
319916,829,0,,,,,,
319917,829,0,,,,,,
319918,829,0,,,,,,
319919,829,0,,,,,,
319920,829,0,,,,,,
319921,829,0,,,,,,
319922,829,0,,,,,,
319923,829,0,,,,,,
319924,829,0,,,,,,
319925,829,0,,,,,,
319926,829,0,,,,,,
319927,829,1,,,,,,
319928,829,1,,,,,,
319929,829,1,,,,,,
319930,829,1,,,,,,
319931,829,1,,,,,,
319932,829,1,,,,,,
319933,829,1,,,,,,
319934,829,0,,,,,,
319935,829,1,,,,,,
319936,829,0,,,,,,
319937,829,0,,,,,,
319938,829,0,,,,,,
319939,829,1,,,,,,
319940,829,1,,,,,,
319941,829,1,,,,,,
319942,829,0,,,,,,
319943,829,1,,,,,,
319944,829,0,,,,,,
319945,829,1,,,,,,
319946,829,0,,,,,,
319947,829,1,,,,,,
319948,829,1,,,,,,
319949,829,0,,,,,,
319950,829,1,,,,,,
319951,829,0,,,,,,
319952,829,0,,,,,,
319953,829,0,,,,,,
319954,829,0,,,,,,
319955,829,0,,,,,,
319956,829,0,,,,,,
319957,829,0,,,,,,
319958,829,0,,,,,,
319959,829,0,,,,,,
319960,829,0,,,,,,
319961,829,0,,,,,,
319962,829,0,,,,,,
319963,829,1,,,,,,
319964,829,0,,,,,,
319965,829,0,,,,,,
319966,829,0,,,,,,
319967,829,0,,,,,,
319968,829,0,,,,,,
319969,829,0,,,,,,
319970,829,0,,,,,,
319971,829,0,,,,,,
319972,829,0,,,,,,
319973,829,0,,,,,,
319974,829,0,,,,,,
319975,829,0,,,,,,
319976,829,0,,,,,,
319977,829,0,,,,,,
319978,829,1,,,,,,
319979,829,0,,,,,,
319980,829,0,,,,,,
319981,829,1,,,,,,
319982,829,1,,,,,,
319983,829,0,,,,,,
319984,829,0,,,,,,
319985,829,0,,,,,,
319986,829,0,,,,,,
319987,829,0,,,,,,
319988,829,0,,,,,,
319989,829,0,,,,,,
319990,829,1,,,,,,
319991,829,1,,,,,,
319992,829,0,,,,,,
319993,829,0,,,,,,
319994,829,1,,,,,,
319995,829,1,,,,,,
319996,829,0,,,,,,
319997,829,1,,,,,,
319998,829,0,,,,,,
319999,829,0,,,,,,
320000,829,0,,,,,,
320001,829,0,,,,,,
320002,829,0,,,,,,
320003,829,0,,,,,,
320004,829,0,,,,,,
320005,829,0,,,,,,
320006,829,0,,,,,,
320007,829,0,,,,,,
320008,829,1,,,,,,
320009,829,1,,,,,,
320010,829,0,,,,,,
320011,829,0,,,,,,
320012,829,1,,,,,,
320013,829,1,,,,,,
320014,829,0,,,,,,
320015,829,1,,,,,,
320016,829,0,,,,,,
320017,829,0,,,,,,
320018,829,0,,,,,,
320019,829,1,,,,,,
320020,829,1,,,,,,
320021,829,0,,,,,,
320022,829,1,,,,,,
320023,829,1,,,,,,
320024,829,1,,,,,,
320025,829,0,,,,,,
320026,829,1,,,,,,
320027,829,0,,,,,,
320028,829,1,,,,,,
320029,829,0,,,,,,
320030,829,1,,,,,,
320031,829,1,,,,,,
320032,829,0,,,,,,
320033,829,0,,,,,,
320034,829,1,,,,,,
320035,829,0,,,,,,
320036,829,0,,,,,,
320037,829,0,,,,,,
320038,829,0,,,,,,
320039,829,0,,,,,,
320040,829,0,,,,,,
320041,829,0,,,,,,
320042,829,0,,,,,,
320043,829,1,,,,,,
320044,829,1,,,,,,
320045,829,1,,,,,,
320046,829,1,,,,,,
320047,829,1,,,,,,
320048,829,0,,,,,,
320049,829,0,,,,,,
320050,829,0,,,,,,
320051,829,0,,,,,,
320052,829,0,,,,,,
320053,829,0,,,,,,
320054,829,0,,,,,,
320055,829,0,,,,,,
320056,829,0,,,,,,
320057,829,0,,,,,,
320058,829,0,,,,,,
320059,829,0,,,,,,
320060,829,0,,,,,,
320061,829,1,,,,,,
320062,829,1,,,,,,
320063,829,0,,,,,,
320064,829,0,,,,,,
320065,829,0,,,,,,
320066,829,0,,,,,,
320067,829,0,,,,,,
320068,829,0,,,,,,
320069,829,0,,,,,,
320070,829,1,,,,,,
320071,829,1,,,,,,
320072,829,1,,,,,,
320073,829,1,,,,,,
320074,829,1,,,,,,
320075,829,0,,,,,,
320076,829,0,,,,,,
320077,829,0,,,,,,
320078,829,0,,,,,,
320079,829,0,,,,,,
320080,829,0,,,,,,
320081,829,0,,,,,,
320082,829,0,,,,,,
320083,829,0,,,,,,
320084,829,1,,,,,,
320085,829,1,,,,,,
320086,829,0,,,,,,
320087,829,0,,,,,,
320088,829,0,,,,,,
320089,829,0,,,,,,
320090,829,1,,,,,,
320091,829,1,,,,,,
320092,829,0,,,,,,
320093,829,1,,,,,,
320094,829,0,,,,,,
320095,829,1,,,,,,
320096,829,1,,,,,,
320097,829,0,,,,,,
320098,829,0,,,,,,
320099,829,0,,,,,,
320100,829,0,,,,,,
320101,829,1,,,,,,
320102,829,0,,,,,,
320103,829,0,,,,,,
320104,829,1,,,,,,
320105,829,0,,,,,,
320106,829,0,,,,,,
320107,829,0,,,,,,
320108,829,0,,,,,,
320109,829,0,,,,,,
320110,829,0,,,,,,
320111,829,0,,,,,,
320112,829,1,,,,,,
320113,829,0,,,,,,
320114,829,0,,,,,,
320115,829,1,,,,,,
320116,829,1,,,,,,
320117,829,0,,,,,,
320118,829,0,,,,,,
320119,829,1,,,,,,
320120,829,1,,,,,,
320121,829,1,,,,,,
320122,829,0,,,,,,
320123,829,1,,,,,,
320124,829,1,,,,,,
320125,829,0,,,,,,
320126,829,1,,,,,,
320127,829,1,,,,,,
320128,829,0,,,,,,
320129,829,0,,,,,,
320130,829,1,,,,,,
320131,829,0,,,,,,
320132,829,0,,,,,,
320133,829,0,,,,,,
320134,829,0,,,,,,
320135,829,0,,,,,,
320136,829,0,,,,,,
320137,829,0,,,,,,
320138,829,0,,,,,,
320139,829,0,,,,,,
320140,829,1,,,,,,
320141,829,0,,,,,,
320142,829,0,,,,,,
320143,829,0,,,,,,
320144,829,0,,,,,,
320145,829,0,,,,,,
320146,829,0,,,,,,
320147,829,1,,,,,,
320148,829,1,,,,,,
320149,829,0,,,,,,
320150,829,0,,,,,,
320151,829,1,,,,,,
320152,829,1,,,,,,
320153,829,1,,,,,,
320154,829,1,,,,,,
320155,829,0,,,,,,
320156,829,0,,,,,,
320157,829,0,,,,,,
320158,829,0,,,,,,
320159,829,0,,,,,,
320160,829,0,,,,,,
320161,829,0,,,,,,
320162,829,0,,,,,,
320163,829,0,,,,,,
320164,829,0,,,,,,
320165,829,0,,,,,,
320166,829,0,,,,,,
320167,829,0,,,,,,
320168,829,0,,,,,,
320169,829,0,,,,,,
320170,829,0,,,,,,
320171,829,0,,,,,,
320172,829,0,,,,,,
320173,829,0,,,,,,
320174,829,0,,,,,,
320175,829,0,,,,,,
320176,829,0,,,,,,
320177,829,0,,,,,,
320178,829,0,,,,,,
320179,829,0,,,,,,
320180,829,0,,,,,,
320181,829,0,,,,,,
320182,829,0,,,,,,
320183,829,0,,,,,,
320184,829,0,,,,,,
320185,829,0,,,,,,
320186,829,0,,,,,,
320187,829,0,,,,,,
320188,829,0,,,,,,
320189,829,0,,,,,,
320190,829,0,,,,,,
320191,829,0,,,,,,
320192,829,0,,,,,,
320193,829,0,,,,,,
320194,829,0,,,,,,
320195,829,0,,,,,,
320196,829,0,,,,,,
320197,829,1,,,,,,
320198,829,0,,,,,,
320199,829,0,,,,,,
320200,829,0,,,,,,
320201,829,0,,,,,,
320202,829,0,,,,,,
320203,829,0,,,,,,
320204,829,0,,,,,,
320205,829,0,,,,,,
320206,829,0,,,,,,
320207,829,0,,,,,,
320208,829,0,,,,,,
320209,829,0,,,,,,
320210,829,0,,,,,,
320211,829,0,,,,,,
320212,829,0,,,,,,
320213,829,0,,,,,,
320214,829,0,,,,,,
320215,829,0,,,,,,
320216,829,0,,,,,,
320217,829,1,,,,,,
320218,829,1,,,,,,
320219,829,0,,,,,,
320220,829,1,,,,,,
320221,829,0,,,,,,
320222,829,0,,,,,,
320223,829,0,,,,,,
320224,829,0,,,,,,
320225,829,1,,,,,,
320226,829,0,,,,,,
320227,829,1,,,,,,
320228,829,1,,,,,,
320229,829,0,,,,,,
320230,829,1,,,,,,
320231,829,0,,,,,,
320232,829,0,,,,,,
320233,829,0,,,,,,
320234,829,0,,,,,,
320235,829,0,,,,,,
320236,829,0,,,,,,
320237,829,0,,,,,,
320238,829,0,,,,,,
320239,829,0,,,,,,
320240,829,0,,,,,,
320241,829,0,,,,,,
320242,829,0,,,,,,
320243,829,0,,,,,,
320244,829,0,,,,,,
320245,829,0,,,,,,
320246,829,0,,,,,,
320247,829,0,,,,,,
320248,829,0,,,,,,
320249,829,0,,,,,,
320250,829,0,,,,,,
320251,829,0,,,,,,
320252,829,0,,,,,,
320253,829,0,,,,,,
320254,829,1,,,,,,
320255,829,1,,,,,,
320256,829,0,,,,,,
320257,829,0,,,,,,
320258,829,0,,,,,,
320259,829,1,,,,,,
320260,829,0,,,,,,
320261,829,1,,,,,,
320262,829,0,,,,,,
320263,829,1,,,,,,
320264,829,1,,,,,,
320265,829,0,,,,,,
320266,829,1,,,,,,
320267,829,1,,,,,,
320268,829,1,,,,,,
320269,829,1,,,,,,
320270,829,0,,,,,,
320271,829,0,,,,,,
320272,829,1,,,,,,
320273,829,0,,,,,,
320274,829,1,,,,,,
320275,829,1,,,,,,
320276,829,0,,,,,,
320277,829,0,,,,,,
320278,829,1,,,,,,
320279,829,1,,,,,,
320280,829,0,,,,,,
320281,829,1,,,,,,
320282,829,1,,,,,,
320283,829,0,,,,,,
320284,829,0,,,,,,
320285,829,0,,,,,,
320286,829,0,,,,,,
320287,829,0,,,,,,
320288,829,0,,,,,,
320289,829,0,,,,,,
320290,829,0,,,,,,
320291,829,0,,,,,,
320292,829,1,,,,,,
320293,829,1,,,,,,
320294,829,0,,,,,,
320295,829,0,,,,,,
320296,829,0,,,,,,
320297,829,1,,,,,,
320298,829,0,,,,,,
320299,829,0,,,,,,
320300,829,0,,,,,,
320301,829,1,,,,,,
