solution_id,problem_id,old_outcome,input_outcome,graph_outcome,mutation_outcome,input_result,graph_result,mutation_result
129433,823,0,,,,,,
129434,823,0,,,,,,
129435,823,0,,,,,,
129436,823,1,,,,,,
129437,823,1,,,,,,
129438,823,0,,,,,,
129439,823,0,,,,,,
129440,823,0,,,,,,
129441,823,0,,,,,,
129442,823,0,,,,,,
129443,823,0,,,,,,
129444,823,0,,,,,,
129445,823,0,,,,,,
129446,823,1,,,,,,
129447,823,0,,,,,,
129448,823,0,,,,,,
129449,823,0,,,,,,
129450,823,0,,,,,,
129451,823,1,,,,,,
129452,823,0,,,,,,
129453,823,0,,,,,,
129454,823,0,,,,,,
129455,823,0,,,,,,
129456,823,0,,,,,,
129457,823,0,,,,,,
129458,823,1,,,,,,
129459,823,0,,,,,,
129460,823,0,,,,,,
129461,823,0,,,,,,
129462,823,0,,,,,,
129463,823,0,,,,,,
129464,823,1,,,,,,
129465,823,1,,,,,,
129466,823,0,,,,,,
129467,823,0,,,,,,
129468,823,0,,,,,,
129469,823,0,,,,,,
129470,823,1,,,,,,
129471,823,1,,,,,,
129472,823,0,,,,,,
129473,823,0,,,,,,
129474,823,0,,,,,,
129475,823,1,,,,,,
129476,823,1,,,,,,
129477,823,0,,,,,,
129478,823,0,,,,,,
129479,823,1,,,,,,
129480,823,0,,,,,,
129481,823,0,,,,,,
129482,823,1,,,,,,
129483,823,1,,,,,,
129484,823,0,,,,,,
129485,823,0,,,,,,
129486,823,0,,,,,,
129487,823,0,,,,,,
129488,823,0,,,,,,
129489,823,1,,,,,,
129490,823,0,,,,,,
129491,823,0,,,,,,
129492,823,0,,,,,,
129493,823,0,,,,,,
129494,823,0,,,,,,
129495,823,0,,,,,,
129496,823,0,,,,,,
129497,823,0,,,,,,
129498,823,0,,,,,,
129499,823,0,,,,,,
129500,823,0,,,,,,
129501,823,0,,,,,,
129502,823,0,,,,,,
129503,823,0,,,,,,
129504,823,0,,,,,,
129505,823,0,,,,,,
129506,823,0,,,,,,
129507,823,0,,,,,,
129508,823,0,,,,,,
129509,823,1,,,,,,
129510,823,0,,,,,,
129511,823,0,,,,,,
129512,823,0,,,,,,
129513,823,0,,,,,,
129514,823,0,,,,,,
129515,823,0,,,,,,
129516,823,0,,,,,,
129517,823,0,,,,,,
129518,823,0,,,,,,
129519,823,0,,,,,,
129520,823,0,,,,,,
129521,823,0,,,,,,
129522,823,0,,,,,,
129523,823,0,,,,,,
129524,823,0,,,,,,
129525,823,1,,,,,,
129526,823,1,,,,,,
129527,823,1,,,,,,
129528,823,1,,,,,,
129529,823,0,,,,,,
129530,823,0,,,,,,
129531,823,0,,,,,,
129532,823,0,,,,,,
129533,823,0,,,,,,
129534,823,0,,,,,,
129535,823,0,,,,,,
129536,823,0,,,,,,
129537,823,0,,,,,,
129538,823,0,,,,,,
129539,823,1,,,,,,
129540,823,1,,,,,,
129541,823,0,,,,,,
129542,823,0,,,,,,
129543,823,0,,,,,,
129544,823,0,,,,,,
129545,823,0,,,,,,
129546,823,0,,,,,,
129547,823,0,,,,,,
129548,823,1,,,,,,
129549,823,1,,,,,,
129550,823,0,,,,,,
129551,823,0,,,,,,
129552,823,1,,,,,,
129553,823,0,,,,,,
129554,823,0,,,,,,
129555,823,1,,,,,,
129556,823,0,,,,,,
129557,823,0,,,,,,
129558,823,0,,,,,,
129559,823,0,,,,,,
129560,823,0,,,,,,
129561,823,0,,,,,,
129562,823,0,,,,,,
129563,823,0,,,,,,
129564,823,1,,,,,,
129565,823,0,,,,,,
129566,823,0,,,,,,
129567,823,0,,,,,,
129568,823,0,,,,,,
129569,823,0,,,,,,
129570,823,0,,,,,,
129571,823,0,,,,,,
129572,823,0,,,,,,
129573,823,0,,,,,,
129574,823,0,,,,,,
129575,823,0,,,,,,
129576,823,0,,,,,,
129577,823,0,,,,,,
129578,823,1,,,,,,
129579,823,1,,,,,,
129580,823,1,,,,,,
129581,823,1,,,,,,
129582,823,1,,,,,,
129583,823,1,,,,,,
129584,823,0,,,,,,
129585,823,0,,,,,,
129586,823,0,,,,,,
129587,823,0,,,,,,
129588,823,0,,,,,,
129589,823,0,,,,,,
129590,823,0,,,,,,
129591,823,0,,,,,,
129592,823,0,,,,,,
129593,823,0,,,,,,
129594,823,0,,,,,,
129595,823,0,,,,,,
129596,823,0,,,,,,
129597,823,0,,,,,,
129598,823,0,,,,,,
129599,823,0,,,,,,
129600,823,0,,,,,,
129601,823,0,,,,,,
129602,823,0,,,,,,
129603,823,0,,,,,,
129604,823,0,,,,,,
129605,823,0,,,,,,
129606,823,0,,,,,,
129607,823,0,,,,,,
129608,823,0,,,,,,
129609,823,0,,,,,,
129610,823,0,,,,,,
129611,823,0,,,,,,
129612,823,0,,,,,,
129613,823,0,,,,,,
129614,823,0,,,,,,
129615,823,0,,,,,,
129616,823,0,,,,,,
129617,823,0,,,,,,
129618,823,0,,,,,,
129619,823,0,,,,,,
129620,823,0,,,,,,
129621,823,1,,,,,,
129622,823,0,,,,,,
129623,823,0,,,,,,
129624,823,1,,,,,,
129625,823,1,,,,,,
129626,823,0,,,,,,
129627,823,1,,,,,,
129628,823,1,,,,,,
129629,823,1,,,,,,
129630,823,1,,,,,,
129631,823,1,,,,,,
129632,823,1,,,,,,
129633,823,0,,,,,,
129634,823,1,,,,,,
129635,823,0,,,,,,
129636,823,0,,,,,,
129637,823,1,,,,,,
129638,823,0,,,,,,
129639,823,0,,,,,,
129640,823,0,,,,,,
129641,823,0,,,,,,
129642,823,0,,,,,,
129643,823,0,,,,,,
129644,823,0,,,,,,
129645,823,1,,,,,,
129646,823,0,,,,,,
129647,823,0,,,,,,
129648,823,1,,,,,,
129649,823,1,,,,,,
129650,823,0,,,,,,
129651,823,0,,,,,,
129652,823,0,,,,,,
129653,823,1,,,,,,
129654,823,0,,,,,,
129655,823,0,,,,,,
129656,823,0,,,,,,
129657,823,0,,,,,,
129658,823,0,,,,,,
129659,823,0,,,,,,
129660,823,0,,,,,,
129661,823,0,,,,,,
129662,823,0,,,,,,
129663,823,0,,,,,,
129664,823,0,,,,,,
129665,823,0,,,,,,
129666,823,0,,,,,,
129667,823,1,,,,,,
129668,823,0,,,,,,
129669,823,0,,,,,,
129670,823,0,,,,,,
129671,823,0,,,,,,
129672,823,0,,,,,,
129673,823,0,,,,,,
129674,823,0,,,,,,
129675,823,1,,,,,,
129676,823,1,,,,,,
129677,823,1,,,,,,
129678,823,1,,,,,,
129679,823,0,,,,,,
129680,823,0,,,,,,
129681,823,0,,,,,,
129682,823,0,,,,,,
129683,823,0,,,,,,
129684,823,0,,,,,,
129685,823,0,,,,,,
129686,823,0,,,,,,
129687,823,0,,,,,,
129688,823,0,,,,,,
129689,823,0,,,,,,
129690,823,0,,,,,,
129691,823,1,,,,,,
129692,823,0,,,,,,
129693,823,0,,,,,,
129694,823,0,,,,,,
129695,823,0,,,,,,
129696,823,0,,,,,,
129697,823,1,,,,,,
129698,823,1,,,,,,
129699,823,0,,,,,,
129700,823,1,,,,,,
129701,823,0,,,,,,
